"crit","zip"
"9002768","04653"
"9002769","04654"
"9002770","04655"
"9002771","04657"
"9002772","04658"
"9002773","04660"
"9002774","04662"
"9002775","04666"
"9002776","04667"
"9002777","04668"
"9002778","04671"
"9002779","04673"
"9002780","04675"
"9002781","04676"
"9002782","04677"
"9002783","04679"
"9002784","04680"
"9002785","04681"
"9002786","04684"
"9002787","04685"
"9002788","04686"
"9002789","04691"
"9002790","04693"
"9002791","04694"
"9002792","04730"
"9002793","04732"
"9002794","04733"
"9002795","04734"
"9002796","04735"
"9002797","04736"
"9002798","04739"
"9002799","04740"
"9002800","04742"
"9002801","04743"
"9002802","04745"
"9002803","04746"
"9002804","04747"
"9002805","04750"
"9002806","04756"
"9002807","04757"
"9002808","04758"
"9002809","04760"
"9002810","04761"
"9002811","04762"
"9002812","04763"
"9002813","04764"
"9002814","04765"
"9002815","04766"
"9002816","04768"
"9002817","04769"
"9002818","04772"
"9002819","04773"
"9002820","04774"
"9002821","04776"
"9002822","04777"
"9002823","04779"
"9002824","04780"
"9002825","04781"
"9002826","04783"
"9002827","04785"
"9002828","04786"
"9002829","04787"
"9002830","04841"
"9002831","04843"
"9002832","04847"
"9002833","04848"
"9002834","04849"
"9002835","04851"
"9002836","04852"
"9002837","04853"
"9002838","04854"
"9002840","04856"
"9002841","04858"
"9002842","04859"
"9002843","04860"
"9002844","04861"
"9002845","04862"
"9002846","04863"
"9002847","04864"
"9002848","04901"
"9002849","04910"
"9002850","04911"
"9002851","04912"
"9002852","04915"
"9002853","04917"
"9002854","04918"
"9002855","04920"
"9002856","04921"
"9002857","04922"
"9002858","04923"
"9002859","04924"
"9002860","04925"
"9002861","04927"
"9002862","04928"
"9002863","04929"
"9002864","04930"
"9002865","04932"
"9002866","04936"
"9002867","04937"
"9002868","04938"
"9002869","04939"
"9002870","04941"
"9002871","04942"
"9002872","04943"
"9002873","04945"
"9002874","04947"
"9002875","04949"
"9002876","04950"
"9002877","04951"
"9002878","04952"
"9002879","04953"
"9002881","04955"
"9002882","04956"
"9002883","04957"
"9002884","04958"
"9002885","04961"
"9002887","04963"
"9002888","04964"
"9002889","04965"
"9002890","04966"
"9002891","04967"
"9002892","04969"
"9002893","04970"
"9002894","04971"
"9002895","04973"
"9002896","04974"
"9002897","04975"
"9002898","04976"
"9002899","04978"
"9002900","04979"
"9002901","04981"
"9002902","04982"
"9002903","04983"
"9002904","04984"
"9002905","04985"
"9002906","04986"
"9002907","04987"
"9002908","04988"
"9002909","04989"
"9002910","05001"
"9002911","05009"
"9002912","05030"
"9002913","05032"
"9002914","05033"
"9002915","05034"
"9002916","05035"
"9002917","05036"
"9002918","05037"
"9002919","05038"
"9002920","05039"
"9002921","05040"
"9002922","05042"
"9002923","05043"
"9002924","05045"
"9002925","05046"
"9002926","05048"
"9002927","05050"
"9002928","05051"
"9002929","05052"
"9002930","05053"
"9002931","05055"
"9002932","05056"
"9002933","05058"
"9002934","05059"
"9002935","05060"
"9002936","05061"
"9002937","05062"
"9002938","05065"
"9002939","05067"
"9002940","05068"
"9002941","05069"
"9002942","05070"
"9002943","05071"
"9002944","05072"
"9002945","05073"
"9002947","05075"
"9002948","05076"
"9002949","05077"
"9002950","05079"
"9002951","05081"
"9002952","05083"
"9002953","05084"
"9002954","05086"
"9002955","05088"
"9002956","05089"
"9002957","05091"
"9002958","05101"
"9002959","05142"
"9002960","05143"
"9002961","05146"
"9002962","05148"
"9002963","05149"
"9002964","05150"
"9002965","05151"
"9002966","05152"
"9002967","05153"
"9002968","05154"
"9002969","05155"
"9002970","05156"
"9002971","05158"
"9002972","05161"
"9002973","05201"
"9002974","05250"
"9002975","05251"
"9002976","05252"
"9002977","05253"
"9002979","05255"
"9002980","05257"
"9002981","05260"
"9002982","05261"
"9002983","05262"
"9002984","05301"
"9002986","05340"
"9002987","05341"
"9002988","05342"
"9002989","05343"
"9002990","05344"
"9002991","05345"
"9002992","05346"
"9002993","05350"
"9002994","05351"
"9002995","05352"
"9002996","05353"
"9002997","05354"
"9002998","05355"
"9002999","05356"
"9003000","05358"
"9003001","05359"
"9003002","05360"
"9003003","05361"
"9003004","05362"
"9003005","05363"
"9003006","05401"
"9003007","05403"
"9003008","05404"
"9003009","05405"
"9003010","05408"
"9003012","05440"
"9003013","05441"
"9003014","05442"
"9003015","05443"
"9003016","05444"
"9003017","05445"
"9003018","05446"
"9003019","05447"
"9003020","05448"
"9003021","05450"
"9003022","05452"
"9003023","05454"
"9003024","05455"
"9003025","05456"
"9003026","05457"
"9003027","05458"
"9003028","05459"
"9003029","05461"
"9003030","05462"
"9003031","05463"
"9003032","05464"
"9003033","05465"
"9003034","05468"
"9003036","05471"
"9003037","05472"
"9003038","05473"
"9003039","05474"
"9003040","05476"
"9003041","05477"
"9003042","05478"
"9003043","05479"
"9003044","05482"
"9003045","05483"
"9003046","05486"
"9003047","05487"
"9003048","05488"
"9003049","05489"
"9003050","05490"
"9003051","05491"
"9003052","05492"
"9003053","05494"
"9003054","05495"
"9003055","05602"
"9003056","05620"
"9003057","05633"
"9003058","05640"
"9003059","05641"
"9003060","05647"
"9003061","05648"
"9003062","05649"
"9003063","05650"
"9003064","05651"
"9003065","05652"
"9003066","05653"
"9003067","05654"
"9003068","05655"
"9003069","05656"
"9003071","05658"
"9003072","05660"
"9003073","05661"
"9003074","05663"
"9003075","05666"
"9003076","05667"
"9003077","05669"
"9003078","05672"
"9003079","05673"
"9003080","05674"
"9003081","05675"
"9003082","05676"
"9003083","05677"
"9003084","05678"
"9003085","05679"
"9003086","05680"
"9003087","05681"
"9003088","05682"
"9003089","05701"
"9003090","05730"
"9003091","05732"
"9003092","05733"
"9003093","05734"
"9003094","05735"
"9003095","05736"
"9003096","05737"
"9003097","05738"
"9003098","05739"
"9003099","05742"
"9003100","05743"
"9003101","05744"
"9003103","05747"
"9003104","05748"
"9003105","05751"
"9003106","05753"
"9003107","05757"
"9003108","05758"
"9003109","05759"
"9003110","05760"
"9003111","05761"
"9003112","05763"
"9003113","05764"
"9003114","05765"
"9003115","05766"
"9003116","05767"
"9003117","05769"
"9003118","05770"
"9003119","05772"
"9003120","05773"
"9003121","05774"
"9003122","05775"
"9003123","05776"
"9003124","05777"
"9003125","05778"
"9003126","05819"
"9003127","05820"
"9003128","05821"
