URL,Last crawled
https://www.pdx.edu/turkish-studies-center/student-union/events/evening-author-activist-curtis-chin,2023-12-12
https://www.pdx.edu/turkish-studies-center/student-legal-services/research/news?page=0&tid=health,2023-12-12
https://www.pdx.edu/turkish-studies-center/business/calendar/day?tid=leadership,2023-12-12
https://www.pdx.edu/early-childhood-hub/transportation/news/female-led-rocket-team-earns-top-prize-psu-cleantech-challenge,2023-12-12
https://www.pdx.edu/child-language-learning-center/business/news/even-razor-clams-sparsely-populated-olympic-coast-cant-escape-plastics-psu-study-finds,2023-12-12
"https://www.pdx.edu/early-childhood-hub/urban-public-affairs/calendar/day?tid=faculty 
%26 staff",2023-12-12
"https://www.pdx.edu/turkish-studies-center/disability-resource-center/calendar/week?tid=local 
events",2023-12-12
"https://www.pdx.edu/turkish-studies-center/social-work/housing/news?page=0&tid=%22crime, 
law and justice%22",2023-12-12
https://www.pdx.edu/music-theater/alumni/visit/events/handels-messiah-0,2023-12-12
https://www.pdx.edu/syndication/writing-center/calendar/day?tid=alumni,2023-12-12
"https://www.pdx.edu/turkish-studies-center/social-work/students-with-children/news?page=2&tid=all 
campus messages",2023-12-12
https://www.pdx.edu/turkish-studies-center/transfer-center/admissions/postbaccalaureate,2023-12-12
https://www.pdx.edu/turkish-studies-center/students-with-children/news/portland-state-business-students-selected-inform-future-blockchain-standards,2023-12-12
"https://www.pdx.edu/indigenous-nations-studies/calendar/week?tid=faculty 
%26 staff",2023-12-12
"https://www.pdx.edu/turkish-studies-center/veterans-resource-center/calendar/week?tid=music 
theater",2023-12-12
"https://www.pdx.edu/turkish-studies-center/business/calendar/day?tid=community 
service %26 volunteering",2023-12-12
https://www.pdx.edu/early-childhood-hub/education-abroad/news/lemelson-foundation-pledges-1-million-invent-oregon-collegiate-challenge,2023-12-12
https://www.pdx.edu/turkish-studies-center/student-union/calendar/day?tid=leadership,2023-12-12
https://www.pdx.edu/early-childhood-hub/diversity/news?page=9,2023-12-12
"https://www.pdx.edu/child-language-learning-center/gradschool/calendar/day?tid=diversity 
and multiculturalism",2023-12-12
https://www.pdx.edu/turkish-studies-center/recreation/calendar/day?tid=theater,2023-12-12
https://www.pdx.edu/child-language-learning-center/transfer-center/calendar/week?tid=leadership,2023-12-12
https://www.pdx.edu/turkish-studies-center/disability-resource-center/calendar/week?tid=alumni,2023-12-12
https://www.pdx.edu/turkish-studies-center/writing-center/calendar/day?tid=colloquium,2023-12-12
"https://www.pdx.edu/child-language-learning-center/education/calendar/week?tid=free 
food",2023-12-12
https://www.pdx.edu/early-childhood-hub/social-work/news/psu-professor-awarded-2m-grant-diagnose-language-disorder-faster-easier,2023-12-12
https://www.pdx.edu/syndication/careers/calendar/day?tid=student life,2023-12-12
https://www.pdx.edu/turkish-studies-center/student-legal-services/mcnair-program/news/grant-makes-exploratory-trips-vietnam-hawaii-possible-piaa-studies,2023-12-12
https://www.pdx.edu/child-language-learning-center/transfer-center/calendar/week?tid=theater,2023-12-12
https://www.pdx.edu/turkish-studies-center/gradschool/calendar/day?tid=leadership,2023-12-12
https://www.pdx.edu/early-childhood-hub/students-with-children/calendar/week?tid=self-care,2023-12-12
https://www.pdx.edu/child-language-learning-center/education/news/announcing-2023-psu-cleantech-challenge-winners,2023-12-12
https://www.pdx.edu/early-childhood-hub/honors/sites/ondeck.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s5jq2z,2023-12-12
https://www.pdx.edu/housing/housing/sites/housing.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s4hnyf,2023-12-12
https://www.pdx.edu/syndication/business/news/portland-state-universitys-center-entrepreneurship-hits-major-milestone-10-years-catalyzing,2023-12-12
"https://www.pdx.edu/child-language-learning-center/business/calendar/day?tid=lectures 
%26 guest speakers",2023-12-12
"https://www.pdx.edu/early-childhood-hub/business/calendar/week?tid=community 
service %26 volunteering",2023-12-12
https://www.pdx.edu/human-resources/human-resources/blog/informational-webinars-oregon-paid-family-medical-leave-are-available,2023-12-12
https://www.pdx.edu/early-childhood-hub/alumni/calendar/day?tid=academic,2023-12-12
"https://www.pdx.edu/turkish-studies-center/learning-center/calendar/day?tid=local 
events",2023-12-12
https://www.pdx.edu/early-childhood-hub/alumni/calendar/day?tid=student life,2023-12-12
"https://www.pdx.edu/syndication/architecture/calendar/day?tid=meeting or 
discussion",2023-12-12
https://www.pdx.edu/syndication/architecture/calendar/day?tid=student life,2023-12-12
"https://www.pdx.edu/transportation-lab/calendar/week?tid=%22arts, culture 
%26 entertainment%22",2023-12-12
https://www.pdx.edu/early-childhood-hub/liberal-arts-sciences/calendar/week?tid=self-care,2023-12-12
"https://www.pdx.edu/turkish-studies-center/student-union/calendar/week?tid=community 
service %26 volunteer",2023-12-12
https://www.pdx.edu/early-childhood-hub/diversity/news/portland-state-research-shows-some-viruses-can-infect-even-after-major-mutations,2023-12-12
"https://www.pdx.edu/turkish-studies-center/social-work/queer-resource-center/news?page=1&tid=PSU 
News",2023-12-12
"https://www.pdx.edu/early-childhood-hub/womens-resource-center/calendar/week?tid=faculty 
%26 staff",2023-12-12
https://www.pdx.edu/syndication/education/sites/ondeck.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s5jq2z,2023-12-12
https://www.pdx.edu/turkish-studies-center/social-work/housing/news?page=5&tid=society,2023-12-12
https://www.pdx.edu/turkish-studies-center/social-work/queer-resource-center/news?tid=grants,2023-12-12
https://www.pdx.edu/early-childhood-hub/mcnair-program/sites/ondeck.web.wdt.pdx.edu/files/google_tag/psu_gtm_container/google_tag.script.js?s5jq2z,2023-12-12
"https://www.pdx.edu/turkish-studies-center/social-work/writing-center/news?page=10&tid=PSU 
News",2023-12-12
https://www.pdx.edu/turkish-studies-center/cultural-resource-centers/health-counseling/news?tid=weather,2023-12-12
"https://www.pdx.edu/turkish-studies-center/liberal-arts-sciences/education/news?page=3&tid=science 
and technology",2023-12-12
"https://www.pdx.edu/early-childhood-hub/careers/student-life/news?tid=community 
impact",2023-12-12
https://www.pdx.edu/center-for-public-service/tribal-government/visit/tribal-government/vietnam-oregon-initiative/visit/senior-fellows,2023-12-12
